,,,,,
disease,miRNA,beta,standard error,z-value,p-value
AD,MIMAT0003888,1.37,0.30,4.60,4.20E-06
AD,MIMAT0005584,1.34,0.25,5.42,6.03E-08
AD,MIMAT0005588,1.28,0.25,5.14,2.74E-07
AD,MIMAT0007349,1.01,0.21,4.72,2.32E-06
AD,MIMAT0007400,1.31,0.23,5.67,1.40E-08
AD,MIMAT0009203,1.00,0.20,5.04,4.67E-07
AD,MIMAT0009451,1.12,0.23,4.84,1.33E-06
AD,MIMAT0015064,-1.15,0.24,-4.73,2.21E-06
AD,MIMAT0016896,0.98,0.21,4.76,1.91E-06
AD,MIMAT0016909,1.13,0.23,4.91,9.24E-07
AD,MIMAT0018001,1.00,0.22,4.51,6.42E-06
AD,MIMAT0018004,1.18,0.21,5.62,1.87E-08
AD,MIMAT0018360,1.13,0.22,5.24,1.57E-07
AD,MIMAT0019209,1.25,0.24,5.14,2.68E-07
AD,MIMAT0019216,1.01,0.22,4.55,5.30E-06
AD,MIMAT0019772,1.17,0.20,5.84,5.15E-09
AD,MIMAT0019789,1.08,0.20,5.54,3.02E-08
AD,MIMAT0019792,1.36,0.25,5.34,9.22E-08
AD,MIMAT0019820,1.08,0.21,5.24,1.64E-07
AD,MIMAT0019839,1.37,0.27,5.06,4.15E-07
AD,MIMAT0019893,1.64,0.28,5.96,2.60E-09
AD,MIMAT0022726,1.27,0.26,4.94,7.71E-07
AD,MIMAT0022731,1.02,0.20,5.23,1.68E-07
AD,MIMAT0026475,1.62,0.33,4.82,1.40E-06
AD,MIMAT0027026,1.24,0.22,5.56,2.71E-08
AD,MIMAT0027027,1.05,0.20,5.19,2.05E-07
AD,MIMAT0027358,1.12,0.23,4.78,1.72E-06
AD,MIMAT0027374,0.90,0.18,5.03,5.00E-07
AD,MIMAT0027382,0.78,0.17,4.55,5.33E-06
AD,MIMAT0027384,0.99,0.21,4.78,1.71E-06
AD,MIMAT0027388,1.35,0.25,5.50,3.72E-08
AD,MIMAT0027395,0.95,0.18,5.15,2.58E-07
AD,MIMAT0027401,0.99,0.19,5.07,4.02E-07
AD,MIMAT0027409,0.84,0.17,5.03,4.89E-07
AD,MIMAT0027419,1.29,0.24,5.40,6.59E-08
AD,MIMAT0027423,1.13,0.19,6.05,1.41E-09
AD,MIMAT0027425,0.79,0.16,4.99,6.10E-07
AD,MIMAT0027439,1.39,0.24,5.75,8.67E-09
AD,MIMAT0027453,1.01,0.20,5.16,2.44E-07
AD,MIMAT0027455,1.75,0.37,4.78,1.73E-06
AD,MIMAT0027457,0.74,0.16,4.72,2.39E-06
AD,MIMAT0027459,0.95,0.20,4.82,1.46E-06
AD,MIMAT0027473,1.27,0.24,5.41,6.41E-08
AD,MIMAT0027475,1.03,0.20,5.26,1.40E-07
AD,MIMAT0027485,1.03,0.21,4.81,1.55E-06
AD,MIMAT0027489,1.15,0.22,5.10,3.41E-07
AD,MIMAT0027503,1.39,0.26,5.30,1.17E-07
AD,MIMAT0027505,1.30,0.24,5.36,8.50E-08
AD,MIMAT0027507,1.08,0.22,5.02,5.04E-07
AD,MIMAT0027509,1.09,0.21,5.20,2.02E-07
AD,MIMAT0027520,0.97,0.20,4.74,2.15E-06
AD,MIMAT0027547,1.01,0.20,5.15,2.66E-07
AD,MIMAT0027551,2.28,0.40,5.74,9.36E-09
AD,MIMAT0027559,0.74,0.16,4.68,2.82E-06
AD,MIMAT0027567,0.86,0.18,4.77,1.83E-06
AD,MIMAT0027569,1.03,0.23,4.50,6.71E-06
AD,MIMAT0027573,1.03,0.21,4.95,7.28E-07
AD,MIMAT0027591,1.65,0.32,5.23,1.68E-07
AD,MIMAT0027626,0.90,0.20,4.59,4.36E-06
AD,MIMAT0027631,1.38,0.30,4.68,2.94E-06
AD,MIMAT0027635,1.23,0.22,5.52,3.30E-08
AD,MIMAT0027641,1.13,0.23,4.99,5.99E-07
